	est1		est2		est3		est4	
	b/se	p	b/se	p	b/se	p	b/se	p
subsessionround_number	.0126802	.2539905	-.0341624	.0064704	-4	.0130984	-2.147059	.3014343
	.0111143		.0125388		1.575272		2.064799	
_cons	51.26748	8.1e-290	62.06999	7.9e-323	49.9625	8.77e-15	55.05294	5.44e-12
	1.288186		1.453286		5.224586		6.848164	
