	est1	est2	est3	est4
	b/se	b/se	b/se	b/se
subsessionround_number	.0126802	-.0341624	-4	-2.147059
	.027212	.0273791	1.571763	1.935324
_cons	51.26748	62.06999	49.9625	55.05294
	5.296881	5.242718	4.498695	7.973698
