	est1		est2		est3		est4	
	b/se	p	b/se	p	b/se	p	b/se	p
subsessionround_number	.0126802	.6468214	-.0341624	.2290343	-4	.0224229	-2.147059	.2836522
	.027212		.0273791		1.571763		1.935324	
_cons	51.26748	1.47e-08	62.06999	1.24e-09	49.9625	1.24e-08	55.05294	3.55e-06
	5.296881		5.242718		4.498695		7.973698	
