	.
	b
fiveyearlyinfo_mean	
Trial Number	-2.147059
_cons	55.05294
fiveyearlyinfo_lnvar	
_cons	6.585864
monthlyinfo_mean	
Trial Number	-.0341624
_cons	62.06999
monthlyinfo_lnvar	
_cons	7.54254
