,Monthly,,Monthly Info,,Five Yearly,,Five Yearly Info,
,b/se,p,b/se,p,b/se,p,b/se,p
subsessionround_number,0.0126802,0.2539905,-0.0341624,0.0064704,-4,0.0130984,-2.147059,0.3014343
,0.0111143,,0.0125388,,1.575272,,2.064799,
_cons,51.26748,8.10E-290,62.06999,7.9e-323,49.9625,8.77E-15,55.05294,5.44E-12
,1.288186,,1.453286,,5.224586,,6.848164,
