	fiveyearlyinfo	
	b/se	p
five_yearly_equivalent_2	-9.888889	.1658295
	6.829691	
five_yearly_equivalent_3	-10	.2057111
	7.599955	
five_yearly_equivalent_4	-14.88889	.1250773
	9.22859	
five_yearly_equivalent_5	-14.77778	.1654809
	10.19727	
_cons	70.44444	4.07e-12
	4.136463	
