	est1		est2		est3		est4	
	b/se	p	b/se	p	b/se	p	b/se	p
subsessionround_number	1.768421	.4770059	-3.455556	.06639	-4	.0224229	-2.147059	.2836522
	2.434902		1.761548		1.571763		1.935324	
_cons	46.43158	2.09e-06	70.9	2.31e-09	49.9625	1.24e-08	55.05294	3.55e-06
	6.782893		6.240071		4.498695		7.973698	
